id,name,reason
186,Drive Lah Pte Ltd - (Suggested) Roobykon Software OÜ as Technology System Cost,DEACTIVATE-redundant
170,Drive Lah Pte Ltd - Recruitee,DEACTIVATE-redundant
6,Drive Lah Pte Ltd - Contractor Salary 10,DEACTIVATE-redundant
139,Drive Lah Pte Ltd - Liberty wireless,DEACTIVATE-redundant
137,Drive Lah Pte Ltd - Legal Fees,DEACTIVATE-redundant
193,Drive Lah Pte Ltd - Tokio,DEACTIVATE-redundant
152,Drive Lah Pte Ltd - NTUC,DEACTIVATE-redundant
196,Drive Lah Pte Ltd - Tow Lah,DEACTIVATE-redundant
184,Drive Lah Pte Ltd - Sharim,DEACTIVATE-redundant
194,Drive Lah Pte Ltd - Tokio 2,DEACTIVATE-redundant
84,Drive Lah Pte Ltd - Focussed claims,DEACTIVATE-redundant
182,Drive Lah Pte Ltd - SEON 2,DEACTIVATE-redundant
86,Drive Lah Pte Ltd - GPS Malaysia,DEACTIVATE-redundant
87,Drive Lah Pte Ltd - Gupshup,DEACTIVATE-redundant
126,Drive Lah Pte Ltd - Income insurance,DEACTIVATE-redundant
197,Drive Lah Pte Ltd - Trixie,DEACTIVATE-redundant
177,Drive Lah Pte Ltd - Sandy,DEACTIVATE-redundant
133,Drive Lah Pte Ltd - Journey Horizon,DEACTIVATE-redundant
130,Drive Lah Pte Ltd - Jay Balan,DEACTIVATE-redundant
82,Drive Lah Pte Ltd - Digital Matter,DEACTIVATE-redundant
129,Drive Lah Pte Ltd - Jared,DEACTIVATE-redundant
136,Drive Lah Pte Ltd - KORE wireless,DEACTIVATE-redundant
165,Drive Lah Pte Ltd - Photography,DEACTIVATE-redundant
166,Drive Lah Pte Ltd - Photography1,DEACTIVATE-redundant
167,Drive Lah Pte Ltd - Photography2,DEACTIVATE-redundant
172,Drive Lah Pte Ltd - RMS1,DEACTIVATE-redundant
103,Drive Lah Pte Ltd - Contractor,DEACTIVATE-redundant
161,Drive Lah Pte Ltd - PH Healthcare,DEACTIVATE-superseded-by-arbitrated-default
173,Drive Lah Pte Ltd - RMS2,DEACTIVATE-redundant
174,Drive Lah Pte Ltd - RMS3,DEACTIVATE-redundant
122,Drive Lah Pte Ltd - Human Resource,DEACTIVATE-redundant
157,Drive Lah Pte Ltd - Onfido,DEACTIVATE-redundant
175,Drive Lah Pte Ltd - RMS4,DEACTIVATE-redundant
168,Drive Lah Pte Ltd - Photography3,DEACTIVATE-redundant
123,Drive Lah Pte Ltd - Human resource1,DEACTIVATE-redundant
187,Drive Lah Pte Ltd - (Suggested) Sam Chan as Due from Fleet,DEACTIVATE-redundant
97,Drive Lah Pte Ltd - Caretaker1,DEACTIVATE-redundant
188,Drive Lah Pte Ltd - (Suggested) Timothys as Due from Fleet,DEACTIVATE-redundant
189,Drive Lah Pte Ltd - (Suggested) vighnesh r vighnesh as Operating Expenses-Human Resource - Salary Expense,DEACTIVATE-redundant
147,Drive Lah Pte Ltd - Monday,DEACTIVATE-redundant
148,Drive Lah Pte Ltd - Monday.com,DEACTIVATE-redundant
121,Drive Lah Pte Ltd - Hubspot,DEACTIVATE-redundant
91,Drive Lah Pte Ltd - Ana salary,DEACTIVATE-redundant
92,Drive Lah Pte Ltd - Annabella,DEACTIVATE-redundant
88,Drive Lah Pte Ltd - Wise Legal Auto,DEACTIVATE-redundant
243,Drive Lah Pte Ltd - Wise Due from fleet Auto,DEACTIVATE-redundant
213,Drive Lah Pte Ltd - Wise Marketing asset creation Auto,DEACTIVATE-redundant
244,Drive Lah Pte Ltd - Wise Contractor salary Auto,DEACTIVATE-redundant
217,Drive Lah Pte Ltd - Wise Director salary Auto,DEACTIVATE-redundant
218,Drive Lah Pte Ltd - Wise Human resource salray expense Auto,DEACTIVATE-redundant
219,Drive Lah Pte Ltd - Wise Insurance Auto,DEACTIVATE-redundant
221,Drive Lah Pte Ltd - Wise Operating expense - towing Auto,DEACTIVATE-redundant
222,Drive Lah Pte Ltd - Wise Bookkeeping Auto,DEACTIVATE-redundant
237,Drive Lah Pte Ltd - Wise Tech system cost Auto,DEACTIVATE-redundant
241,Drive Lah Pte Ltd - Wise Operating expense - damage Auto,DEACTIVATE-redundant
72,Drive Lah Pte Ltd - Wise Marekting new customers Auto,DEACTIVATE-redundant
